Title,Movie_Cast,Director,Genre,Year
ghuspaithiya,Urvashi RautelaVineet Kumar SinghAkshay Oberoi,Susi Ganeshan,"drama, crime",2024
khel khel mein,Akshay KumarTaapsee PannuFardeen KhanVaani KapoorAmmy VirkPragya JaiswalAditya Seal,Mudassar Aziz,"drama, comedy",2024
vedaa,John AbrahamSharvariAbhishek BanerjeeAshish Vidyarthi,Nikkhil Advani,"action, drama",2024
stree 2,Shraddha KapoorRajkummar RaoAparshakti KhuranaPankaj TripathiAbhishek Banerjee,Amar Kaushik,"comedy, horror",2024
stree 2,Shraddha KapoorRajkummar RaoAparshakti KhuranaPankaj TripathiAbhishek Banerjee,Amar Kaushik,"comedy, horror",2024
tikdam,Amit SialArisht JainAarohi SaudDivyansh DwivediNayan Bhatt,Vivek Anchalia,Unknown,2024
a wedding story,Vaibhav TatwawadiMukti MohanLakshvir Singh SaranMonica Chaudhary Akshay Anand,Abhinav Pareek,horror,2024
pad gaye pange,Samarpan SinghRajpal YadavRajesh SharmaFaisal MalikVarsha RekhateRrajesh Yadav,Santosh Kumar,comedy,2024
visfot,Riteish DeshmukhFardeen KhanPriya BapatKrystle D'Souza,Kookie Gulati,"thriller, crime",2024
the buckingham murders,Kareena Kapoor KhanAsh TandonRanveer BrarKeith Allen,Hansal Mehta,"thriller, crime",2024
sector 36,Vikrant MasseyDeepak Dobriyal,Aditya Nimbalkar,"thriller, crime",2024
berlin,Ishwak SinghAparshakti KhuranaRahul BoseAnupriya GoenkaKabir Bedi,Atul Sabharwal,thriller,2024
adbhut,Nawazuddin SiddiquiDiana PentyShreya DhanwantharyRohan Mehra,Sabbir Khan,horror,2024
kahan shuru kahan khatam,Dhvani BhanushaliAashim GulatiSupriya PilgaonkarRakesh BediSonali SachdevRajesh SharmaAkhilendra MishraChittranjan TripathyVikram KochharHimansh KohliVikas Verma,Saurabh Dasgupta,"comedy, romantic",2024
yudhra,Siddhant ChaturvediMalavika MohananRaghav JuyalGajraj RaoRam Kapoor,Ravi Udyawar,"action, thriller, war",2024
nasha jurm aur gangsters,Rajkumar PatraRocky Rupkumar PatraYudiMunni PankajAbhijit Acharjee,Rajkumar Patra,Unknown,2024
